========================================
  海外利益保护情报预警平台 - 后端服务
  版本: 2.0.0 (PostgreSQL)
  端口: 3000
  环境: development
========================================
[DB] 连接失败: 
[SELF-CLEAN] osint_intel 无需清理，200 条
[SELF-CLEAN] socmint_intel 无需清理，6 条
[AUTO-ENGINE] 自动采集引擎启动 | 深度检索每5分钟 / 社交通道每10分钟
[2026-08-06T20:22:33.025Z] POST /api/intel/terror_events
[2026-08-06T20:22:33.032Z] GET /api/media?status=1
[2026-08-06T20:22:33.034Z] GET /api/media?status=1
[2026-08-06T20:22:33.035Z] GET /api/media?status=1
[2026-08-06T20:22:33.036Z] POST /api/intel/osint_intel
[2026-08-06T20:22:33.036Z] GET /api/media?status=1
[2026-08-06T20:22:33.043Z] GET /api/media?status=1
[2026-08-06T20:22:33.044Z] GET /api/media?status=1
[2026-08-06T20:22:33.046Z] GET /api/media?status=1
[2026-08-06T20:22:33.047Z] GET /api/media?status=1
[2026-08-06T20:22:33.049Z] GET /api/media?status=1
[2026-08-06T20:22:33.050Z] POST /api/intel/geopolitical_intel
[2026-08-06T20:22:33.051Z] GET /api/media?status=1
[2026-08-06T20:22:33.057Z] GET /api/media?status=1
[2026-08-06T20:22:33.060Z] POST /api/intel/geopolitical_intel
[2026-08-06T20:22:33.065Z] POST /api/intel/osint_intel
[2026-08-06T20:22:33.065Z] GET /api/media?status=1
[2026-08-06T20:22:33.077Z] GET /api/media?status=1
[2026-08-06T20:22:33.078Z] POST /api/intel/osint_intel
[2026-08-06T20:22:33.093Z] POST /api/intel/osint_intel
[2026-08-06T20:22:33.094Z] GET /api/media?status=1
[2026-08-06T20:22:33.100Z] GET /api/media?status=1
[2026-08-06T20:22:33.102Z] POST /api/intel/osint_intel
[2026-08-06T20:22:33.102Z] GET /api/media?status=1
[2026-08-06T20:22:33.107Z] POST /api/intel/osint_intel
[2026-08-06T20:22:33.112Z] GET /api/media?status=1
[2026-08-06T20:22:33.114Z] GET /api/media?status=1
[2026-08-06T20:22:33.116Z] GET /api/media?status=1
[2026-08-06T20:22:33.117Z] GET /api/media?status=1
[2026-08-06T20:22:33.118Z] POST /api/intel/osint_intel
[2026-08-06T20:22:33.118Z] GET /api/media?status=1
[2026-08-06T20:22:33.120Z] GET /api/media?status=1
[2026-08-06T20:22:33.128Z] GET /api/media?status=1
[2026-08-06T20:22:33.139Z] GET /api/media?status=1
